salary,type,link,job_name
年収450万円〜,正社員,https://c.stanby.com/v2/adpage?id=1478352822610186240&hid=1d81d545e3c222a450392f4084962fa8f1821ffda52a4268c0e36678cec7efa6&tm=1592135779377,アプリケーションエンジニア/自社サービス/Scalaによる大規模Web開発
年収300万円〜675万円,正社員,https://c.stanby.com/v2/adpage?id=1478352822610186241&hid=2ae6b14cd2b6b157fb2e660c4d905716fc51d5cc50f4a6f5173f62d51237ad29&tm=1592135779377,ゲームプログラマ・エンジニア/急募案件/最先端の感動を届けるコンテンツ開発
港区,非掲載,https://c.stanby.com/v2/adpage?id=1478352822610186242&hid=655de92a60d5e946647aa6aab4b66f8bbea2379ddcc5c8c76a0b26f0e36dc5c1&tm=1592135779377,大手不動産サービスWEBシステム開発/業務委託/月給～60万円/港区/経験者歓迎/週5日/高収入
年収750万円〜900万円,正社員,https://c.stanby.com/v2/adpage?id=1478352822610186243&hid=7ac8d3cf01a1c62a6037e96a4d4d80e7dceabbb9fa14b1fec113529d4711f9ba&tm=1592135779377,ITプラットフォーム開発マネジメント（統括課長候補/大手グループ不動産テック）
年収270万円〜550万円,正社員,https://c.stanby.com/v2/adpage?id=1478352822610186244&hid=48fc4edcabcf84286d08f16ea8f418e8ad845e0600daa06d60c6601a41be9ee9&tm=1592135779377,《水道橋駅》SE【今までの経験を存分に活かせる環境年間休日120日以上社内イベント充実決算賞与あり】｜プログラマ(オープンWEB系)
非掲載,正社員,https://c.stanby.com/v2/adpage?id=1478352822610186245&hid=c37b172b84f6837cf5021a13b4612ca953dd5210ac6620247f72798dc4f73ecd&tm=1592135779377,【離職率5％以下/在宅・リモートOK】エンジニアチームのマネージャー候補を募集
"年収500万円〜1,000万円",正社員,https://job.yahoo.co.jp/company/1000000434/jobs/7dc1abdc7a72851ca84cd74809d52966573ffc0359d7d5b5ff67e5038e381430?keyword=scala&l=%E6%9D%B1%E4%BA%AC%E9%83%BD&side=1,【エンジニア】ソフトウェアエンジニア（クラウド電子カルテ担当※Ruby、Scala、React）
"時給1,850円〜",派遣社員,https://job.yahoo.co.jp/jobs/detail/7f7ff7291f41dcf64c44755c1bf6c0ca78ea14774c40c063d2e0edb87f19a3a1?keyword=scala&l=%E6%9D%B1%E4%BA%AC%E9%83%BD&side=1,総合建設コンサルタント会社にて
年収700万円〜800万円,正社員,https://job.yahoo.co.jp/jobs/detail/dd7e6eefea09b8903d48af284e0204884f454acca9fdd7917d393ef9ee63e000?keyword=scala&l=%E6%9D%B1%E4%BA%AC%E9%83%BD&side=1,C++/新規サービスの開発/東京都中央区
年収500万円〜700万円,正社員,https://job.yahoo.co.jp/jobs/detail/af8d4caddab8dad60a2738b4beff863d646aae01f837b2468068f49e774ca8fa?keyword=scala&l=%E6%9D%B1%E4%BA%AC%E9%83%BD&side=1,【テックリード／自社サービス設計・開発】《平均残業》月10h〜15h
"年収600万円〜1,000万円",正社員,https://job.yahoo.co.jp/jobs/detail/fd83ebb38dd4c73e2184341cb1ff7e20e8c41625f064e4242852b8ab8cebe90f?keyword=scala&l=%E6%9D%B1%E4%BA%AC%E9%83%BD&side=1,"【Java,Go】サーバーサイドエンジニア"
年収600万円〜900万円,正社員,https://job.yahoo.co.jp/company/1000007836/jobs/2fc6d9cb137aa861014e38e540c3d3debc8fe641b92a8234904b28f45838bfad?keyword=scala&l=%E6%9D%B1%E4%BA%AC%E9%83%BD&side=1,※開発実務経験者採用リードエンジニア（R＆D)
"年収600万円〜2,000万円",正社員,https://job.yahoo.co.jp/jobs/detail/d6c1bf1049500d970ffc1d37092c521db972429d8fe01e4930490d7edf970abd?keyword=scala&l=%E6%9D%B1%E4%BA%AC%E9%83%BD&side=1,Java/Scalaサーバーサイドエンジニア
年収600万円〜899万円,正社員,https://job.yahoo.co.jp/company/1000007836/jobs/c4cd80b9af8103ab090c5c7e9cf37b7b7406704b1ca75322b938367c5e0caabc?keyword=scala&l=%E6%9D%B1%E4%BA%AC%E9%83%BD&side=1,【IS】リードエンジニア(R＆D).
月給20.8万円〜60万円,正社員,https://c.stanby.com/v2/adpage?id=1478352822610186246&hid=e99d2638d2d43d3099367616b2ffda50dca2040acb1c5fe804405e4c1102a1fc&tm=1592135779377,新たな挑戦に年齢は関係なし！生涯エンジニア（開発・インフラ）
"年収350万円〜1,100万円",正社員,https://c.stanby.com/v2/adpage?id=1478352822610186247&hid=344e11bdb31a3174f4cda218d081706747f4195f5fd2a075accc3cc6bf7ab9b4&tm=1592135779377,PM・上級SE候補◆社員満足度95％◆年間休日130日以上◆男性の育休取得実績もあり！
月給20万円〜35万円,正社員,https://c.stanby.com/v2/adpage?id=1478352822610186248&hid=34982be205f3f215a5b43548eb0b0c1f2beed8568de529f96af1e38766282ed9&tm=1592135779377,その他のIT・システムエンジニア・開発・運用系[IT・システムエンジニア・開発・運用系/その他のIT・システムエンジニア・開発・運用系]開発エンジニア実務未経験者一緒に事業拡大を目指しましょう
年収300万円〜600万円,正社員,https://c.stanby.com/v2/adpage?id=1478352822610186249&hid=22d4830ec37046bb049801800203177eec3235431fddd6e002a0a216975c5f1e&tm=1592135779377,【自社開発】サーバーサイドエンジニア※税理士向けクラウド税務・会計システムシェアNo.1
年収450万円〜,正社員,https://c.stanby.com/v2/adpage?id=1478352822610186250&hid=f1c8a798be06c5e9b67cc4358a5cd3157df11880107a479e1d3035aed13cd5ec&tm=1592135779377,Androidアプリエンジニア/自社サービス/新機能追加、既存機能の改修
月給20万円〜35万円,正社員,https://c.stanby.com/v2/adpage?id=1478352822610186251&hid=2012814a5c5ba3c46f0c781cef4576046518b9eeecefbf2779d010726d366eb1&tm=1592135779377,システム開発やサーバNW構築/正社員/月給20万円～35万円/渋谷区/開発エンジニア実務未経験者/一緒に事業拡大を目指しましょう/チャレンジしたい方歓迎/仕事No.9439
年収500万円〜700万円,正社員,https://c.stanby.com/v2/adpage?id=1478352823155466240&hid=e341c37fe1d76df81644aba86016496f20ef16b7884cb7b84ce41705b0ce5027&tm=1592135779507,新組織立ち上げに伴うエンジニア（サーバーサイド／メンバー）
非掲載,正社員,https://c.stanby.com/v2/adpage?id=1478352823155466241&hid=1bf1ba275c4411bae96b48ef7612163557c360462b12b550c4df04cc8dc86059&tm=1592135779507,【Java経験者歓迎】少人数のチームで裁量大きく。企画～効果検証まで携わり納得感を持って開発したいエンジニア募集！
年収480万円〜900万円,正社員,https://c.stanby.com/v2/adpage?id=1478352823155466242&hid=f6c48912f118e872ffdaf6472bbfb6f10bbecaaec4fe9a58930df267649b45f9&tm=1592135779507,SE・PG／残業月10h未満／年休125日／月収40万円～
年収600万円〜,正社員,https://c.stanby.com/v2/adpage?id=1478352823155466243&hid=544fa4c82b64d69fe62ba2761580c2372f6ce551066c6016876ac531de3e8407&tm=1592135779507,【残業時間月20h以内／退職者少／就業環境よし】リードエンジニア／スマホ広告トップ企業
年収450万円〜,正社員,https://c.stanby.com/v2/adpage?id=1478352823155466244&hid=26cc011360486d95a5f8e7a8c1a2421d5442fbc07691cd6818068535082efb1b&tm=1592135779507,データエンジニア/自社サービス/大規模データ処理基盤の設計及び開発
月給25万円〜50万円,正社員,https://c.stanby.com/v2/adpage?id=1478352823155466245&hid=6c858a1a1447a72c842ebf25a906c732d903acfb621977a387501eab0303019f&tm=1592135779507,システム開発やサーバNW構築/正社員/月給25万円～50万円/渋谷区/開発エンジニア経験者歓迎/一緒に事業拡大を目指しましょう/チャレンジしたい方歓迎/仕事No.S8461
年収270万円〜550万円,正社員,https://job.yahoo.co.jp/company/1100023080/jobs/87012701f2ea40c484c2222675aa48faa94ce825bfeb031a41a819867f25d0bd?keyword=scala&l=%E6%9D%B1%E4%BA%AC%E9%83%BD&side=1,《神保町駅》SE【今までの経験を存分に活かせる環境年間休日120日以上社内イベント充実決算賞与あり】｜プログラマ(オープンWEB系)
