salary,type,link,job_name
月給19.3万円〜30.6万円,正社員,https://c.stanby.com/v2/adpage?id=1526223148832337920&hid=082ba575a33019390812b452ff894cbd5c72aabefeae24bfda8f338e45adb9e0&tm=1603548954536,30～40代活躍中プログラマーVBA取得者歓迎家賃補助有り
月給19.3万円〜30.6万円,正社員,https://c.stanby.com/v2/adpage?id=1526223148832337921&hid=41a7ba04c619e48ff6902055ae8733bf3f7a4257aed92d178a5ceb59fbf761af&tm=1603548954536,30～40代活躍中プログラマーVBA取得者歓迎残業少なめ
月給19.3万円〜30.6万円,正社員,https://c.stanby.com/v2/adpage?id=1526223148832337922&hid=18e31a1eeabd596655c2a75bb7825d94ff25607733b1b5b9850984e0c9a54588&tm=1603548954536,20代活躍中社内SEシステムエンジニアVBA取得者歓迎残業少なめ
月給19.3万円〜30.6万円,正社員,https://c.stanby.com/v2/adpage?id=1526223148832337923&hid=b470aa1ea7baf3c7e393556680fbf56f647be0d630b83c0f9c94ae9a295c4222&tm=1603548954536,20代活躍中システムエンジニアVBA取得者歓迎昼食代補助有り
月給19.3万円〜30.6万円,正社員,https://c.stanby.com/v2/adpage?id=1526223148832337924&hid=8cf0348811a150588412821670f0cf8e6d8b2bc73cb76da075d712305a0a9ca1&tm=1603548954536,20代活躍中社内SEシステムエンジニアVBA取得者歓迎家賃補助有り
月給19.3万円〜30.6万円,正社員,https://c.stanby.com/v2/adpage?id=1526223148832337925&hid=0220131f5cb3a5b8fa6e59fe903e6b682de12a90b10af8a4caecf6e81c987285&tm=1603548954536,20代活躍中社内PGプログラマーVBA取得者歓迎介護休暇完備
年収350万円〜500万円,正社員,https://job.yahoo.co.jp/jobs/detail/c170c04d88ff034f14f284fbcd86255b9b7d75a3ad05b6037ebfe5460306fafc?keyword=vba&l=%E6%9D%B1%E4%BA%AC%E9%83%BD,ヘルプデスク◆アクセス良好◆証券、FX取引など、多彩なサービスの運用保守、品質保証業務を担当
月給24万円,正社員,https://job.yahoo.co.jp/company/1110008335/jobs/7d509474c143398d2b92cd85a490b00efc1193f25b5ff91b1470cfcd8c1883bf?keyword=vba&l=%E6%9D%B1%E4%BA%AC%E9%83%BD,IT事務（業務効率化を支援／残業月10時間以下／土日祝休み）
年収400万円〜550万円,正社員,https://job.yahoo.co.jp/jobs/detail/c3beec500b214b034e87ddfcd870e365ae829f7800d7362796f277c3efc60b4d?keyword=vba&l=%E6%9D%B1%E4%BA%AC%E9%83%BD,【IT部門】Staff～Senior募集-正社員＜RPA＞
港区,月給21万円〜44万円,https://job.yahoo.co.jp/jobs/detail/220e3bc7b84b5889cf34a504935c85a51a5ab83da03b43eae73540f485c8d16c?keyword=vba&l=%E6%9D%B1%E4%BA%AC%E9%83%BD,システムエンジニア（Webシステムの詳細設計～コーディング～テスト）php、JavaScriptさいたまオフィス
